OverallQual,GrLivArea,GarageArea,TotalBsmtSF,YearBuilt,YearRemodAdd,KitchenQual,GarageFinish,SalePrice
7,1710,548,856,2003,2003,3,2,208500
6,1262,460,1262,1976,1976,2,2,181500
7,1786,608,920,2001,2002,3,2,223500
7,1717,642,756,1915,1970,3,1,140000
8,2198,836,1145,2000,2000,3,2,250000
5,1362,480,796,1993,1995,2,1,143000
8,1694,636,1686,2004,2005,3,2,307000
7,2090,484,1107,1973,1973,2,0,200000
7,1774,468,952,1931,1950,2,1,129900
5,1077,205,991,1939,1950,2,2,118000
5,1040,384,1040,1965,1965,2,1,129500
9,2324,736,1175,2005,2006,4,3,345000
5,912,352,912,1962,1962,2,0,144000
7,1494,840,1494,2006,2007,3,2,279500
6,1253,352,1253,1960,1960,2,2,157000
7,854,576,832,1929,2001,2,1,132000
6,1004,480,1004,1970,1970,2,3,149000
4,1296,516,0,1967,1967,2,1,90000
5,1114,576,1114,2004,2004,3,1,159000
5,1339,294,1029,1958,1965,2,1,139000
8,2376,853,1158,2005,2006,3,2,325300
7,1108,280,637,1930,1950,3,1,139400
8,1795,534,1777,2002,2002,3,2,230000
5,1060,572,1040,1976,1976,2,0,129900
5,1060,270,1060,1968,2001,3,1,154000
8,1600,890,1566,2007,2007,3,2,256300
5,900,576,900,1951,2000,3,1,134800
8,1704,772,1704,2007,2008,3,0,306000
5,1600,319,1484,1957,1997,2,2,207500
4,520,240,520,1927,1950,1,1,68500
4,1317,250,649,1920,1950,2,1,40000
5,1228,271,1228,1966,2006,3,1,149350
8,1234,484,1234,2007,2007,3,2,179900
5,1700,447,1398,1959,1959,3,2,165500
9,1561,556,1561,2005,2005,4,3,277500
8,2452,691,1117,2004,2005,3,0,309000
5,1097,672,1097,1994,1995,2,1,145000
5,1297,498,1297,1954,1990,2,3,153000
5,1057,246,1057,1953,2007,3,1,109000
4,1152,0,0,1955,1955,1,0,82000
6,1324,440,1088,1965,1965,2,0,160000
5,1328,308,1350,1959,1959,2,0,170000
5,884,504,840,1983,1983,3,2,144000
5,938,308,938,1975,1980,2,1,130250
5,1150,300,1150,1959,1959,2,2,141000
9,1752,576,1752,2005,2005,4,2,319900
7,2149,670,1434,2003,2003,3,2,239686
8,1656,826,1656,2006,2006,3,0,249700
4,1452,0,736,1920,2008,2,0,113000
5,955,386,955,1966,1966,2,1,127000
6,1470,388,794,1997,1997,2,3,177000
6,1176,528,816,1934,1950,2,1,114500
5,816,516,816,1963,1963,2,1,110000
